"날짜","출발지","도착지","일별이동횟수","유형","타입","수량"
"20150630","4157770","4091775",1,"N11","직송",10
"20150701","4142683","4147549",1,"N11","직송",12
"20150825","4116327","4005910",1,"N11","직송",256
"20150825","4189182","4147961",1,"N11","직송",10
"20150911","4189182","4091622",1,"N11","직송",12
"20150804","4024790","4176972",1,"N11","직송",512
"20151007","5082584","4024336",1,"N11","직송",240
"20150102","4105289","4202649",1,"N11","직송",4
"20150102","4116327","4100736",1,"N11","직송",220
"20150202","4024790","4033595",1,"N11","직송",256
"20150504","4189182","4163333",1,"N11","직송",12
"20150616","4142683","4021387",1,"N11","직송",2
"20150709","4189182","4142730",1,"N11","직송",8
"20150811","4024790","4176972",1,"N11","직송",400
"20150826","4189182","4127790",1,"N11","직송",9
"20150925","5059442","4177490",1,"N11","직송",1
"20150907","4049112","4132530",1,"N11","직송",24
"20150924","4116327","4214338",1,"N11","직송",192
"20150910","4142683","4021387",1,"N11","직송",2
"20151118","4142683","4147968",1,"N11","직송",18
"20151126","4116327","4111493",1,"N11","직송",256
"20141224","4024790","4019365",1,"N11","직송",256
"20150115","4116327","4037414",1,"N11","직송",256
"20150318","4024790","4105290",1,"N11","직송",160
"20150417","4142683","4021387",1,"N11","직송",2
"20150624","4116327","4167986",1,"N11","직송",288
"20150629","4024790","4019365",1,"N11","직송",256
"20150629","4189182","4032108",1,"N11","직송",5
"20150629","4189182","4044843",1,"N11","직송",12
"20150731","4073431","4207094",1,"N11","직송",12
"20151006","4116327","4125641",1,"N11","직송",192
"20151006","4116327","4196917",1,"N11","직송",160
"20151006","4189182","4119081",1,"N11","직송",10
"20151113","4193260","4237304",1,"N11","직송",1
"20141224","4116327","4100736",1,"N11","직송",200
"20150122","4142683","4021387",1,"N11","직송",2
"20150123","4149649","4206283",1,"N11","직송",10
"20150225","4142683","4166324",1,"N11","직송",0
"20150326","4116327","4127857",1,"N11","직송",256
"20150326","4189182","4190099",1,"N11","직송",12
"20150525","5082584","4024336",1,"N11","직송",236
"20150724","4066297","4137879",1,"N11","직송",192
"20150901","4189182","4184134",1,"N11","직송",7
"20150129","4024790","4210778",1,"N11","직송",240
"20150604","4116327","4090604",1,"N11","직송",256
"20150804","4189182","4138771",1,"N11","직송",10
"20150826","4142683","4163628",1,"N11","직송",18
"20150902","4189182","4177719",1,"N11","직송",6
"20150919","4189182","4196630",1,"N11","직송",2
"20151116","4189182","4129259",1,"N11","직송",6
"20150202","4116327","4100736",1,"N11","직송",100
"20150403","4142683","4163628",1,"N11","직송",18
"20150411","4189182","4091622",1,"N11","직송",8
"20150619","4024790","4019365",1,"N11","직송",256
"20150714","4024790","4045252",1,"N11","직송",256
"20150813","4189182","4118565",1,"N11","직송",6
"20150821","4127428","4155479",1,"N11","직송",96
"20150907","4189182","4184134",1,"N11","직송",10
"20151021","4116327","4214745",1,"N11","직송",256
"20151118","4116327","4118565",1,"N11","직송",256
"20150114","4024790","4099620",1,"N11","직송",256
"20150413","4189182","4111740",1,"N11","직송",7
"20150518","4189182","4065259",1,"N11","직송",9
"20150528","4189182","4128711",1,"N11","직송",10
"20150530","4142683","4183882",1,"N11","직송",0
"20150627","4189182","4142730",1,"N11","직송",7
"20150717","4024790","4045252",1,"N11","직송",256
"20150718","4142683","4005671",1,"N11","직송",18
"20150821","4142683","4183882",1,"N11","직송",18
"20150915","4189182","4174888",1,"N11","직송",7
"20151008","4116327","4016292",1,"N11","직송",192
"20141227","4120808","4082758",1,"N11","직송",8
"20141227","4142683","4147549",1,"N11","직송",12
"20141231","4174888","4104289",1,"N11","직송",12
"20150120","4024790","4097834",1,"N11","직송",288
"20150123","5059442","4010462",1,"N11","직송",1
"20150123","5082584","4024336",1,"N11","직송",220
"20150126","4024790","4065354",1,"N11","직송",256
"20150424","4189182","4163333",1,"N11","직송",10
"20150801","4116327","4100333",1,"N11","직송",192
"20150801","4165129","4231163",1,"N11","직송",48
"20150923","4189182","4201327",1,"N11","직송",10
