"날짜","출발지","도착지","구분","유형","일별이동횟수","수량"
"20100104","2022356","4023806","납품","W11",1,1536
"20100105","2022356","4023806","납품","W11",1,1280
"20100106","1067650","4023806","납품","N11",1,256
"20100106","2027529","4023806","납품","N11",1,256
"20100108","2013713","4023806","납품","W11",1,256
"20100111","2011029","4023806","납품","W11",1,448
"20100111","2022356","4023806","납품","N11",1,224
"20100112","2013713","4023806","납품","N11",1,256
"20100114","2022356","4023806","납품","W11",1,768
"20100113","2022356","4023806","납품","W11",1,1280
"20100115","2027529","4023806","납품","N11",1,256
"20100114","2112214","4023806","납품","N11",1,256
"20100118","2013713","4023806","납품","W11",1,512
"20100119","2016517","4023806","납품","W11",1,256
"20100120","2042511","4023806","납품","W11",1,256
"20100120","2058041","4023806","납품","W11",1,256
"20100125","2022356","4023806","납품","W11",1,1536
"20100129","1051215","4023806","납품","W11",1,512
"20100130","1032128","4023806","납품","N11",1,200
"20100202","2045274","4023806","납품","N11",1,256
"20100202","2090291","4023806","납품","W11",1,192
"20100203","2022356","4023806","납품","W11",1,1536
"20100204","2013713","4023806","납품","N11",1,256
"20100205","2045274","4023806","납품","N11",2,768
"20100210","1051215","4023806","납품","W11",1,704
"20100223","2022356","4023806","납품","N11",1,512
"20100223","2022356","4023806","납품","W11",1,768
"20100224","2022356","4023806","납품","W11",1,1024
"20100225","2022356","4023806","납품","N11",1,256
"20100226","2090291","4023806","납품","W11",1,192
"20100303","2022356","4023806","납품","W11",1,1792
"20100310","2027529","4023806","납품","N11",1,256
"20100312","2013713","4023806","납품","W11",1,256
"20100318","2011029","4023806","납품","N11",1,512
"20100318","2022356","4023806","납품","W11",1,1024
"20100319","2013713","4023806","납품","N11",1,256
"20100322","2022356","4023806","납품","W11",1,1792
"20100324","2022356","4023806","납품","W11",1,1024
"20100325","2058041","4023806","납품","W11",1,256
"20100330","2022356","4023806","납품","N11",1,512
"20100330","2058041","4023806","납품","W11",1,256
"20100329","2013713","4023806","납품","N11",1,256
"20100405","2045274","4023806","납품","N11",1,256
"20100402","2013713","4023806","납품","N11",1,256
"20100331","2045274","4023806","납품","N11",1,256
"20100326","2005407","4023806","납품","W11",1,512
"20100414","2013713","4023806","납품","N11",1,512
"20100414","2013713","4023806","납품","W11",1,512
"20100413","2013713","4023806","납품","W11",1,512
"20100413","2022356","4023806","납품","N11",1,256
"20100413","2022356","4023806","납품","W11",1,512
"20100413","2090291","4023806","납품","W11",1,256
"20100412","2041879","4023806","납품","N11",1,256
"20100419","2013713","4023806","납품","N11",1,512
"20100419","2022356","4023806","납품","W11",1,768
"20100422","2112214","4023806","납품","N11",1,256
"20100415","2013713","4023806","납품","W11",1,256
"20100428","2011029","4023806","납품","W11",1,256
"20100428","2013713","4023806","납품","W11",1,512
"20100428","2022356","4023806","납품","N11",1,256
"20100428","2090291","4023806","납품","W11",1,256
"20100501","2013713","4023806","납품","N11",1,256
"20100430","2041879","4023806","납품","N11",1,256
"20100430","2089579","4023806","납품","W11",1,256
"20100510","2027529","4023806","납품","N11",1,256
"20100512","2013713","4023806","납품","W11",1,512
"20100511","2022356","4023806","납품","N11",1,496
"20100518","2022356","4023806","납품","W11",1,768
"20100518","2045274","4023806","납품","N11",1,512
"20100525","2022356","4023806","납품","N11",1,480
"20100525","2032165","4023806","납품","N11",1,256
"20100524","2090291","4023806","납품","W11",1,256
"20100517","2013713","4023806","납품","W11",1,256
"20100517","2045274","4023806","납품","N11",1,512
"20100526","2027529","4023806","납품","N11",1,256
"20100527","2058041","4023806","납품","W11",1,256
"20100611","2022356","4023806","납품","W11",1,1024
"20100610","1068167","4023806","납품","N11",1,512
"20100604","2032165","4023806","납품","W11",1,192
"20100616","2089579","4023806","납품","N11",1,256
"20100621","2022356","4023806","납품","W11",1,768
"20100615","2011029","4023806","납품","N11",1,256
"20100614","2022356","4023806","납품","N11",1,512
"20100614","2045274","4023806","납품","N11",1,256
"20100630","1068167","4023806","납품","N11",1,436
"20100629","2013713","4023806","납품","W11",1,256
"20100625","1068167","4023806","납품","N11",1,256
"20100625","2022356","4023806","납품","W11",1,1024
"20100707","2013713","4023806","납품","W11",1,256
"20100707","2089579","4023806","납품","N11",1,256
"20100706","2045274","4023806","납품","N11",1,512
"20100710","1068167","4023806","납품","N11",1,256
"20100712","2013713","4023806","납품","W11",1,512
"20100708","2013713","4023806","납품","W11",1,256
"20100709","2022356","4023806","납품","N11",1,512
"20100721","2011029","4023806","납품","W11",1,256
"20100717","2011029","4023806","납품","N11",1,256
"20100719","1068167","4023806","납품","N11",1,256
"20100719","2022356","4023806","납품","W11",1,1536
"20100714","2022356","4023806","납품","W11",1,1280
"20100727","2108639","4023806","납품","W11",1,256
"20100730","2022356","4023806","납품","W11",1,512
"20100809","1068167","4023806","납품","N11",1,512
"20100802","2011029","4023806","납품","N11",1,256
"20100816","2011029","4023806","납품","W11",1,256
"20100820","2022356","4023806","납품","W11",1,1280
"20100818","1068167","4023806","납품","N11",1,256
"20100830","2022356","4023806","납품","N11",1,256
"20100826","2022356","4023806","납품","W11",1,1280
"20100831","2032165","4023806","납품","N11",1,256
"20100831","1068167","4023806","납품","N11",1,256
"20100911","2022356","4023806","납품","N11",1,768
"20100916","2022356","4023806","납품","N11",1,256
"20100914","1068167","4023806","납품","N11",1,256
"20101004","2022356","4023806","납품","W11",1,1792
"20101005","2013713","4023806","납품","W11",1,1024
"20101005","2045274","4023806","납품","N11",1,768
"20101008","2022356","4023806","납품","W11",1,768
"20101008","2073233","4023806","납품","N11",1,256
"20101007","2027529","4023806","납품","N11",1,256
"20101007","2045274","4023806","납품","N11",1,256
"20101006","2022356","4023806","납품","N11",1,512
"20101001","2022356","4023806","납품","N11",1,256
"20101014","2022356","4023806","납품","N11",1,256
"20101012","2016517","4023806","납품","W11",1,256
"20101013","2011029","4023806","납품","N11",1,512
"20101013","2016517","4023806","납품","W11",1,768
"20101013","2022356","4023806","납품","N11",1,256
"20101020","2041879","4023806","납품","W11",1,256
"20101019","2011029","4023806","납품","W11",1,512
"20101018","2016517","4023806","납품","W11",1,256
"20101018","2022356","4023806","납품","W11",1,1024
"20101029","2022356","4023806","납품","W11",1,1024
"20101029","2032165","4023806","납품","W11",1,256
"20101028","2013713","4023806","납품","W11",1,256
"20101028","2045274","4023806","납품","N11",1,256
"20101027","2022356","4023806","납품","W11",1,1280
"20101026","2022356","4023806","납품","W11",1,1024
"20101026","2027529","4023806","납품","N11",1,256
"20101022","2027529","4023806","납품","N11",1,256
"20101021","2022356","4023806","납품","W11",1,768
"20101108","2022356","4023806","납품","W11",1,1536
"20101104","2011029","4023806","납품","N11",1,256
"20101104","2022356","4023806","납품","W11",1,512
"20101104","2073233","4023806","납품","W11",1,512
"20101104","2089579","4023806","납품","W11",1,192
"20101101","2022356","4023806","납품","W11",1,1024
"20101111","2011029","4023806","납품","W11",1,256
"20101112","2022356","4023806","납품","N11",1,256
"20101117","2011029","4023806","납품","W11",1,512
"20101116","2011029","4023806","납품","W11",1,256
"20101110","2022356","4023806","납품","W11",1,1024
"20101123","2022356","4023806","납품","N11",1,256
"20101119","1068167","4023806","납품","N11",1,240
"20101119","2013713","4023806","납품","W11",1,512
"20101119","2022356","4023806","납품","W11",1,768
"20101119","2045274","4023806","납품","N11",1,512
