"날짜","출발지","도착지","구분","유형","일별이동횟수","수량"
"20161008","4116327","4023806","직송","N11",1,256
"20101018","4116327","4023806","직송","N11",1,256
"20110412","4066297","4147494","직송","N11",1,256
"20120529","4027684","4023806","직송","N11",1,240
"20120910","4116327","4023806","직송","N11",1,256
"20170704","4116327","4023806","직송","N11",1,256
"20170627","4116327","4023806","직송","N11",1,256
"20170330","4116327","4023806","직송","N11",1,256
"20160709","4116327","4023806","직송","N11",1,256
"20110104","4116327","4023806","직송","N11",1,256
"20101122","4116327","4023806","직송","N11",1,256
"20110725","4116327","4023806","직송","N11",1,256
"20131016","4024790","4147494","직송","N11",1,192
"20160903","4116327","4023806","직송","N11",1,256
"20100827","4116327","4023806","직송","N11",1,256
"20100730","4027684","4023806","직송","N11",1,240
"20110309","4066297","4147494","직송","N11",1,256
"20100817","4027684","4023806","직송","N11",1,240
"20110907","4024790","4147494","직송","N11",1,200
"20120705","4027684","4023806","직송","N11",1,240
"20110723","4116327","4023806","직송","N11",1,256
"20170323","4116327","4023806","직송","N11",1,256
"20161217","4116327","4023806","직송","N11",1,512
"20131029","4042492","4147494","직송","N11",1,192
"20171113","4210963","4023806","직송","N11",1,256
"20160808","4116327","4023806","직송","N11",1,256
"20160905","4116327","4023806","직송","N11",1,256
"20100225","4024790","4023806","직송","N11",1,256
"20111108","4066297","4147494","직송","N11",1,256
"20110720","4116327","4023806","직송","N11",1,512
"20180102","4210963","4023806","직송","N11",1,252
"20160404","4116327","4023806","직송","N11",1,256
"20160726","4116327","4023806","직송","N11",1,256
"20160910","4116327","4023806","직송","N11",1,256
"20160609","4116327","4023806","직송","N11",1,256
"20110111","4116327","4023806","직송","N11",1,256
"20100726","4116327","4023806","직송","N11",1,256
"20100205","4027684","4023806","직송","N11",1,240
"20130318","4042492","4147494","직송","N11",1,192
"20111011","4024790","4147494","직송","N11",1,200
"20161112","4116327","4023806","직송","N11",1,256
"20170824","4116327","4023806","직송","N11",1,256
"20170928","4191031","4023806","직송","N11",1,256
"20171023","4024790","4023806","직송","N11",1,544
"20160718","4116327","4023806","직송","N11",1,256
"20160830","4116327","4023806","직송","N11",1,256
"20160613","4116327","4023806","직송","N11",1,256
"20110502","4066297","4147494","직송","N11",1,200
"20111031","4024790","4147494","직송","N11",1,192
"20170724","4116327","4023806","직송","N11",1,256
"20161224","4116327","4023806","직송","N11",1,256
"20131108","4024790","4147494","직송","N11",1,192
"20180405","4002696","4023806","직송","N11",1,256
"20171122","4082771","4023806","직송","N11",1,256
"20171103","4024790","4023806","직송","N11",1,256
"20160128","4116327","4023806","직송","N11",1,256
"20100817","4024790","4023806","직송","N11",1,256
"20110604","4066297","4147494","직송","N11",1,224
"20110712","4066297","4147494","직송","N11",1,200
"20170701","4116327","4023806","직송","N11",1,288
"20170626","4116327","4023806","직송","N11",1,256
"20171121","4082771","4023806","직송","N11",1,256
"20180319","4013119","4023806","직송","N11",1,256
"20160727","4116327","4023806","직송","N11",1,512
"20160729","4116327","4023806","직송","N11",1,512
"20101112","4116327","4023806","직송","N11",1,256
"20130615","4066297","4147494","직송","N11",1,256
"20170515","4116327","4023806","직송","N11",1,256
"20170118","4116327","4023806","직송","N11",1,256
