"날짜","출발지","도착지","구분","유형","일별이동횟수","수량"
"20100106","5115152","2016517","회수","N11",1,467
"20100108","5115152","2016517","회수","N11",1,508
"20100111","5113634","2073233","회수","PA12",1,12
"20100114","5115152","2016517","회수","N11S",1,26
"20100115","5115152","2016517","회수","N11",1,265
"20100115","5115152","2016517","회수","N11S",1,10
"20100116","5115152","2016517","회수","N11",1,963
"20100119","5115152","2016517","회수","IN11",1,6
"20100119","5115152","2016517","회수","N11S",1,28
"20100123","5115152","2016517","회수","N11S",1,18
"20100125","5113634","2073233","회수","PA11",1,18
"20100126","5115152","2016517","회수","N11",1,772
"20100128","5113634","2073233","회수","PA95",1,1
"20100130","5083226","2056331","회수","N11",1,12
"20100130","5083226","2056331","회수","N12",1,7
"20100201","5115152","2016517","회수","IN11",1,9
"20100202","5115152","2016517","회수","N11S",1,25
"20100208","5113634","2073233","회수","PA11",1,9
"20100209","5083226","2056331","회수","N11",1,1
"20100210","5115152","2016517","회수","N11S",1,5
"20100212","5115152","2016517","회수","IN11",1,8
"20100211","5113634","2073233","회수","PA95",1,1
"20100213","5115152","2016517","회수","N11S",1,63
"20100218","5115152","2016517","회수","IN11",1,6
"20100219","5115152","2016517","회수","N11",1,1772
"20100226","5083226","2056331","회수","N12",1,14
"20100301","5083226","2056331","회수","N11",1,9
"20100301","5083226","2056331","회수","N12",1,7
"20100301","5115152","2016517","회수","IN11",1,21
"20100308","5113634","2073233","회수","PA12",1,20
"20100315","5115152","2016517","회수","IN11",1,10
"20100315","5115152","2108639","회수","N11",1,236
"20100315","5115152","2108639","회수","N11S",1,4
"20100317","5115152","2016517","회수","N11S",1,4
"20100319","5115152","2016517","회수","IN11",1,6
"20100320","5083226","2056331","회수","N11",1,5
"20100322","5115152","2016517","회수","N11",1,827
"20100324","5083226","2056331","회수","N12",1,16
"20100329","5115152","2016517","회수","N11S",1,17
"20100403","5115152","2016517","회수","N11S",1,13
"20100331","5115152","2016517","회수","N11S",1,11
"20100325","5115152","2016517","회수","IN11",1,6
"20100327","5115152","2016517","회수","N11S",1,3
"20100410","5115152","2016517","회수","IN11",1,5
